oh	UH	oh
how	WRB	how
subtley	NP	<unknown>
great	JJ	great
he	PP	he
is	VBZ	be
.	SENT	.
facher	NN	<unknown>
is	VBZ	be
seen	VBN	see
as	IN	as
an	DT	an
elderly	JJ	elderly
man	NN	man
,	,	,
a	DT	a
goofy	JJ	goofy
eccentric	NN	eccentric
,	,	,
carrying	VBG	carry
a	DT	a
broken	VBN	break
brown	JJ	brown
bag	NN	bag
with	IN	with
stickers	NNS	sticker
on	IN	on
it	PP	it
,	,	,
eating	VBG	eat
lunches	NNS	lunch
out	RP	out
of	IN	of
paper	NN	paper
bags	NNS	bag
,	,	,
and	CC	and
making	VBG	make
a	DT	a
point	NN	point
to	TO	to
take	VB	take
time	NN	time
out	RP	out
of	IN	of
his	PP$	his
day	NN	day
to	TO	to
listen	VB	listen
to	TO	to
the	DT	the
radio	NN	radio
,	,	,
and	CC	and
scold	NN	scold
anyone	NN	anyone
who	WP	who
interupts	VBZ	<unknown>
him	PP	him
.	SENT	.
but	CC	but
look	VBP	look
deeper	RBR	deeper
and	CC	and
you	PP	you
see	VBP	see
a	DT	a
master	NN	master
at	IN	at
work	NN	work
:	:	:
his	PP$	his
evil	JJ	evil
and	CC	and
manipulative	JJ	manipulative
nature	NN	nature
are	VBP	be
hidden	VBN	hide
under	IN	under
the	DT	the
eccentricities	NNS	eccentricity
that	WDT	that
others	NNS	other
don	VBP	don
upon	IN	upon
him	PP	him
,	,	,
and	CC	and
it	PP	it
's	VBZ	be
difficult	JJ	difficult
as	IN	as
hell	NN	hell
to	TO	to
clearly	RB	clearly
generalize	VB	generalize
him	PP	him
in	IN	in
any	DT	any
way	NN	way
.	SENT	.
that	DT	that
's	VBZ	be
why	WRB	why
i	NP	i
liked	VBD	like
this	DT	this
film	NN	film
:	:	:
it	PP	it
's	VBZ	be
hard	JJ	hard
to	TO	to
put	VB	put
a	DT	a
pointer	NN	pointer
on	RB	on
.	SENT	.
you	PP	you
can	MD	can
never	RB	never
see	VB	see
exactly	RB	exactly
where	WRB	where
this	DT	this
film	NN	film
will	MD	will
land	VB	land
,	,	,
and	CC	and
even	RB	even
when	WRB	when
the	DT	the
credits	NNS	credit
roll	VBP	roll
,	,	,
you	PP	you
still	RB	still
are	VBP	be
n't	RB	n't
sure	JJ	sure
what	WP	what
to	TO	to
make	VB	make
of	IN	of
it	PP	it
.	SENT	.
call	VB	call
it	PP	it
the	DT	the
zallian	NN	<unknown>
effect	NN	effect
.	SENT	.
same	JJ	same
thing	NN	thing
happened	VBN	happen
with	IN	with
"	``	"
schindler	NN	<unknown>
's	POS	's
list	NN	list
"	''	"
(	(	(
not	RB	not
that		IN	that
i	NNS	i
'm	VBP	be
comparing	VBG	compare
oskar	NN	Oskar
schindler	NN	<unknown>
to	TO	to
jan	NP	Jan
schlictman	NP	<unknown>
)	)	)
.	SENT	.
each	DT	each
film	NN	film
is	VBZ	be
so	RB	so
greatly	RB	greatly
crafted	VBN	craft
that		IN	that
you	PP	you
ca	MD	ca
n't	RB	n't
help	VB	help
but	CC	but
get	VB	get
involved	VBN	involve
in	IN	in
its	PP$	its
broad	JJ	broad
storytelling	NN	storytelling
,	,	,
interesting	JJ	interesting
characters	NNS	character
,	,	,
and	CC	and
,	,	,
most	RBS	most
peculiarly	RB	peculiarly
,	,	,
the	DT	the
wit	NN	wit
that	WDT	that
comes	VBZ	come
along	RP	along
with	IN	with
it	PP	it
.	SENT	.
if	IN	if
only	RB	only
it	PP	it
felt	VBD	feel
totally	RB	totally
complete	VB	complete
(	(	(
like	IN	like
,	,	,
say	VB	say
,	,	,
"	''	"
schindler	NP	Schindler
's	POS	's
list	NN	list
,	,	,
"	''	"
though	RB	though
at	IN	at
this	DT	this
point	NN	point
it	PP	it
may	MD	may
be	VB	be
unfair	JJ	unfair
to	TO	to
make	VB	make
comparisons	NNS	comparison
between	IN	between
the	DT	the
two	CD	two
)	)	)
,	,	,
it	PP	it
might	MD	might
have	VB	have
been	VBN	be
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
films	NNS	film
of	IN	of
the	DT	the
year	NN	year
,	,	,
and	CC	and
along	RB	along
with	IN	with
that	DT	that
,	,	,
a	DT	a
full	JJ	full
breath	NN	breath
of	IN	of
fresh	JJ	fresh
air	NN	air
.	SENT	.
